Step,Training Loss
2120,0.000500
2125,0.001300
2130,0.000300
2135,0.001600
2140,0.000400
2145,0.001200
2150,0.000500
2155,0.000800
2160,0.000600
2165,0.000500
2170,0.000200
2175,0.000100
2180,0.000300
2185,0.000700
2190,0.000300
2195,0.000200
2200,0.000600
2205,0.000300
2210,0.004900
2215,0.000700
2220,0.000600
2225,0.000500
2230,0.000400
2235,0.000800
2240,0.001600
2245,0.000300
2250,0.000500
2255,0.001000
2260,0.000100
2265,0.001400
2270,0.000800
2275,0.001500
2280,0.000900
2285,0.000600
2290,0.000400
2295,0.000300
2300,0.000800
2305,0.000500
2310,0.000500
2315,0.000500
2320,0.000400
2325,0.001000
2330,0.000200
2335,0.000800
2340,0.000800
2345,0.000700
2350,0.000300
2355,0.001700
2360,0.000200
2365,0.000700
2370,0.000200
2375,0.000200
2380,0.000200
2385,0.001200
2390,0.000300
2395,0.000800
2400,0.000400
2405,0.000400
2410,0.000400
2415,0.000300
2420,0.000300
2425,0.000600
2430,0.000600
2435,0.000600
2440,0.000500
2445,0.000700
2450,0.000700
2455,0.000600
2460,0.000700
2465,0.000200
2470,0.000200
2475,0.000500
2480,0.000500
2485,0.000100
2490,0.000500
2495,0.000200
2500,0.000500
2505,0.001600
2510,0.000400
2515,0.000600
2520,0.000100
2525,0.000000
2530,0.000400
2535,0.000400
2540,0.000400
2545,0.000300
2550,0.000500
2555,0.001300
2560,0.000300
2565,0.000400
2570,0.001400
2575,0.001100
2580,0.002000
2585,0.000500
2590,0.000400
2595,0.000300
2600,0.001100
2605,0.000500
2610,0.000500
2615,0.000700
2620,0.000300
2625,0.000400
2630,0.000100
2635,0.000900
2640,0.001200
2645,0.000900
2650,0.000400
2655,0.000700
2660,0.000400
2665,0.000600
2670,0.000300
2675,0.000300
2680,0.000100
2685,0.000900
2690,0.000400
2695,0.000500
2700,0.000500
2705,0.000200
2710,0.001000
2715,0.000300
2720,0.000500
2725,0.000200
2730,0.000800
2735,0.000500
2740,0.000200
2745,0.001300
2750,0.000500
2755,0.000400
2760,0.000400
2765,0.000300
2770,0.000600
2775,0.001600
2780,0.000100
2785,0.000200
2790,0.000500
2795,0.000400
2800,0.000300
2805,0.000300
2810,0.001500
2815,0.000500
2820,0.000300
2825,0.000700
2830,0.000100
2835,0.000200
2840,0.000200
2845,0.000300
2850,0.000500
2855,0.000200
2860,0.000500
2865,0.000500
2870,0.001100
2875,0.000400
2880,0.000600
2885,0.000600
2890,0.000700
2895,0.001000
2900,0.000300
2905,0.001600
2910,0.000300
2915,0.000700
2920,0.000300
2925,0.000300
2930,0.000500
2935,0.000200
2940,0.000200
2945,0.000600
2950,0.000200
2955,0.000300
2960,0.000900
