iter	CrossEntropy
0	0.6836575173
1	0.6815803115
2	0.6796633746
3	0.6649210131
4	0.6535476478
5	0.64483823
6	0.6369450543
7	0.6293657664
8	0.6229511467
9	0.5806265135
10	0.5793873039
11	0.5783486237
12	0.5710492521
13	0.565263542
14	0.5635302776
15	0.5593315846
16	0.5582817696
17	0.5490120553
18	0.5479282688
19	0.5466817907
20	0.5431020582
21	0.5368412121
22	0.5314604785
23	0.5274829865
24	0.5266209164
25	0.5239360912
26	0.5165021742
27	0.5158459431
28	0.5091809969
29	0.5001630525
30	0.4746129835
31	0.4702181945
32	0.4649310756
33	0.462845725
34	0.459400641
35	0.4559643204
36	0.4515151978
37	0.4498907553
38	0.4476090509
39	0.4363737364
40	0.434786513
41	0.4332061458
42	0.4185842566
43	0.4155391229
44	0.4132987615
45	0.4099407454
46	0.4082430247
47	0.4079153731
48	0.4072439864
49	0.4064619734
50	0.4031849165
51	0.3970947266
52	0.3965488898
53	0.3957244254
54	0.393822206
55	0.391531171
56	0.3870766098
57	0.3866324038
58	0.3851449812
59	0.3798146634
60	0.3777185389
61	0.3748786514
62	0.3722437524
63	0.370849764
64	0.3665253407
65	0.36524136
66	0.3643262966
67	0.3624858341
68	0.3613163201
69	0.3603291898
70	0.357911445
71	0.3547958168
72	0.3539842657
73	0.3507369273
74	0.3495595777
75	0.3483275336
76	0.3478292775
77	0.3446276897
78	0.3423136118
79	0.3404278111
80	0.3379140287
81	0.3255185565
82	0.3228356645
83	0.3227923625
84	0.3172322093
85	0.3157248626
86	0.3145687516
87	0.3133477391
88	0.3117491232
89	0.3102407713
90	0.3056369988
91	0.3033133069
92	0.3017618849
93	0.2940865078
94	0.2854168866
95	0.2830231899
96	0.2772919423
97	0.274061667
98	0.2728701153
99	0.2640993015
100	0.2590827169
101	0.2548533775
102	0.2511337899
103	0.2453052675
104	0.242122547
105	0.2394624916
106	0.2377405682
107	0.236448288
108	0.2344577119
109	0.2321620374
110	0.2296374553
111	0.2253679327
112	0.222547428
113	0.2200479765
114	0.2189019693
115	0.2146868577
116	0.2141787039
117	0.2108811301
118	0.2100280298
119	0.2082449552
120	0.2055865236
121	0.2043306248
122	0.2026645815
123	0.1992358388
124	0.1961080448
125	0.1940150132
126	0.1906330779
127	0.1892540648
128	0.1881822638
129	0.184846659
130	0.1843308758
131	0.1837374584
132	0.1816712457
133	0.1799428527
134	0.1781477799
135	0.1756807018
136	0.1748489947
137	0.1736560383
138	0.1726074992
139	0.1713011974
140	0.170489105
141	0.1694585439
142	0.1686580503
143	0.1677122116
144	0.1656355729
145	0.1646274103
146	0.1635363038
147	0.162420144
148	0.1612699998
149	0.160498516
150	0.1591555106
151	0.1583721573
152	0.1574305586
153	0.1564604269
154	0.1549712258
155	0.1534635956
156	0.1521729005
157	0.1514704421
158	0.149992466
159	0.1498895722
160	0.147998217
161	0.1463479867
162	0.1457583195
163	0.1446013064
164	0.144341675
165	0.1427717209
166	0.142398628
167	0.1420194781
168	0.1407536816
169	0.1401321566
170	0.1395755201
171	0.1388533824
172	0.1378605946
173	0.1369217795
174	0.1364229821
175	0.1360228126
176	0.1359316594
177	0.1349554706
178	0.1344583614
179	0.1342055475
180	0.1330823383
181	0.1327923311
182	0.1317860887
183	0.1315398474
184	0.1306488707
185	0.129537402
186	0.1288385778
187	0.1278786015
188	0.1270416749
189	0.1260976147
190	0.1258134713
191	0.1249027252
192	0.1243426864
193	0.1240112975
194	0.1227916511
195	0.1226683823
196	0.121705081
197	0.1210251628
198	0.1200059942
199	0.1196439073
200	0.1191614254
201	0.118340518
202	0.1179960612
203	0.1171350737
204	0.1167848175
205	0.1163470552
206	0.1158998592
